n2,ch1,n1,ranXSec,ranSignal
100,75,50,1,0
100,85,70,1,0
100,90,80,1,0
100,80,60,1,0
100,70,40,1,0
100,60,20,1,0
150,125,100,1,0
150,135,120,1,0
150,140,130,1,0
150,130,110,1,0
150,120,90,1,0
150,110,70,1,0
150,100,50,1,0
200,175,150,1,0
200,185,170,1,0
200,190,180,1,0
200,180,160,1,0
200,170,140,1,0
200,160,120,1,0
200,150,100,1,0
250,225,200,1,0
250,235,220,1,0
250,240,230,1,0
250,230,210,1,0
250,220,190,1,0
250,210,170,1,0
250,200,150,1,0
300,275,250,1,0
300,285,270,1,0
300,290,280,1,0
300,280,260,1,0
300,270,240,1,0
300,260,220,1,0
300,250,200,1,0
350,325,300,1,0
350,335,320,1,0
350,340,330,1,0
350,330,310,1,0
350,320,290,1,0
350,310,270,1,0
350,300,250,1,0
400,375,350,1,0
400,385,370,1,0
400,390,380,1,0
400,380,360,1,0
400,370,340,1,0
400,360,320,1,0
400,350,300,1,0
450,425,400,1,0
450,435,420,1,0
450,440,430,1,0
450,430,410,1,0
450,420,390,1,0
450,410,370,1,0
450,400,350,1,0
500,475,450,1,0
500,485,470,1,0
500,490,480,1,0
500,480,460,1,0
500,470,440,1,0
500,460,420,1,0
500,450,400,1,0
