n2,ch1,n1,xsection,xsectionerr,nevents
100,75,50,0.6662,0.001864,10000
100,85,70,0.6484,0.0017850000000000001,10000
100,90,80,0.6368,0.0017230000000000001,10000
100,80,60,0.6558,0.001721,10000
100,70,40,0.6773,0.0019649999999999997,10000
100,60,20,0.7001,0.0021579999999999998,10000
150,125,100,0.5189,0.001917,10000
150,135,120,0.5019,0.0019030000000000002,10000
150,140,130,0.4954,0.001835,10000
150,130,110,0.5093,0.001994,10000
150,120,90,0.5281,0.001898,10000
150,110,70,0.5454,0.002012,10000
150,100,50,0.5605,0.001702,10000
200,225,200,0.3596,0.001458,10000
200,235,220,0.3502,0.001504,10000
200,240,230,0.3441,0.001294,10000
200,230,210,0.3552,0.001221,10000
200,220,190,0.3625,0.001333,10000
200,210,170,0.374,0.001497,10000
200,200,150,0.3836,0.00156,10000
250,275,250,0.2876,0.001127,10000
250,285,270,0.2809,0.001033,10000
250,290,280,0.2776,0.0008371,10000
250,280,260,0.2846,0.0009615,10000
250,270,240,0.2925,0.0010550000000000002,10000
250,260,220,0.2996,0.001031,10000
250,250,200,0.3071,0.0011970000000000001,10000
300,325,300,0.2318,0.0008759,10000
300,335,320,0.2256,0.0008424,10000
300,340,330,0.2217,0.000917,10000
300,330,310,0.2284,0.0007838,10000
300,320,290,0.2335,0.0008588,10000
300,310,270,0.2384,0.0008761000000000001,10000
300,300,250,0.2471,0.000867,10000
350,325,300,0.2115,0.0009568999999999999,10000
350,335,320,0.2067,0.0007841,10000
350,340,330,0.2043,0.0009419000000000001,10000
350,330,310,0.2093,0.0009742,10000
350,320,290,0.2143,0.0008795999999999999,10000
350,310,270,0.2196,0.001007,10000
350,300,250,0.2252,0.0008737,10000
400,375,350,0.1712,0.0006464999999999999,10000
400,385,370,0.1671,0.0007951000000000001,10000
400,390,380,0.165,0.0006048999999999999,10000
400,380,360,0.1689,0.0007327000000000001,10000
400,370,340,0.1732,0.0006991,10000
400,360,320,0.1774,0.0008252000000000001,10000
400,350,300,0.1825,0.0008066000000000001,10000
450,425,400,0.1385,0.0006945,10000
450,435,420,0.1356,0.0007131,10000
450,440,430,0.1338,0.0007269,10000
450,430,410,0.13699999999999998,0.0007363,10000
450,420,390,0.1403,0.0006571000000000001,10000
450,410,370,0.1436,0.0006621,10000
450,400,350,0.1472,0.0006367000000000001,10000
500,475,450,0.1128,0.000439,10000
500,485,470,0.1104,0.0004684,10000
500,490,480,0.1083,0.00044400000000000006,10000
500,480,460,0.1115,0.0004544,10000
500,470,440,0.1141,0.00043550000000000007,10000
500,460,420,0.1166,0.0005497999999999999,10000
500,450,400,0.1197,0.0005419,10000
